#{"t_start": 1765748816.2495422, "env_id": "CartPole-v1"}
r,l,t
77.0,77,29.53967
39.0,39,29.565778
62.0,62,29.59975
73.0,73,29.649827
95.0,95,29.709648
41.0,41,29.729563
74.0,74,29.779453
26.0,26,29.794241
70.0,70,29.829588
69.0,69,29.879716
30.0,30,29.899651
67.0,67,29.93933
33.0,33,29.959467
144.0,144,30.048328
43.0,43,30.06936
130.0,130,30.149771
97.0,97,30.209654
90.0,90,30.261875
51.0,51,30.299829
70.0,70,30.339662
84.0,84,30.391791
40.0,40,30.409672
34.0,34,30.429668
27.0,27,30.449761
44.0,44,30.479388
125.0,125,30.553602
93.0,93,31.908589
80.0,80,31.971888
73.0,73,32.025742
122.0,122,32.1092
55.0,55,32.141497
117.0,117,32.211698
21.0,21,32.221794
109.0,109,32.291646
50.0,50,32.3214
141.0,141,32.407585
185.0,185,32.519555
129.0,129,32.589564
119.0,119,32.66963
163.0,163,32.769294
121.0,121,32.839545
100.0,100,32.899662
99.0,99,32.96291
108.0,108,33.029376
169.0,169,33.139317
83.0,83,34.712868
117.0,117,34.809242
44.0,44,34.849576
274.0,274,35.064683
70.0,70,35.119614
79.0,79,35.181335
117.0,117,35.279619
121.0,121,35.381328
81.0,81,35.448034
182.0,182,35.597569
55.0,55,35.639653
130.0,130,35.747087
245.0,245,35.934319
90.0,90,35.99941
196.0,196,36.166346
225.0,225,36.350386
187.0,187,37.79698
47.0,47,37.826972
119.0,119,37.906308
119.0,119,37.99735
44.0,44,38.027738
115.0,115,38.099189
93.0,93,38.159647
82.0,82,38.209206
103.0,103,38.278471
60.0,60,38.322111
123.0,123,38.411973
98.0,98,38.477062
151.0,151,38.577064
42.0,42,38.614093
66.0,66,38.671938
141.0,141,38.776582
129.0,129,38.861973
118.0,118,38.940573
52.0,52,38.969259
47.0,47,38.999671
64.0,64,39.053251
193.0,193,40.667186
102.0,102,40.749101
127.0,127,40.851609
152.0,152,40.94928
61.0,61,41.015895
323.0,323,41.336327
93.0,93,41.403436
136.0,136,41.493477
124.0,124,41.575442
41.0,41,41.601852
289.0,289,41.793566
120.0,120,41.871519
132.0,132,41.952696
44.0,44,41.985609
157.0,157,42.099512
144.0,144,43.57948
155.0,155,43.699553
99.0,99,43.759188
395.0,395,43.989511
216.0,216,44.130059
206.0,206,44.269235
142.0,142,44.360043
107.0,107,44.429116
96.0,96,44.500362
198.0,198,44.664912
276.0,276,44.82946
162.0,162,46.353543
48.0,48,46.397727
60.0,60,46.447258
148.0,148,46.551242
67.0,67,46.60018
137.0,137,46.6817
146.0,146,46.77165
29.0,29,46.789243
30.0,30,46.801506
132.0,132,46.881506
130.0,130,46.95928
175.0,175,47.061608
205.0,205,47.179261
163.0,163,47.28023
120.0,120,47.34954
89.0,89,47.409451
232.0,232,47.549415
406.0,406,49.089252
60.0,60,49.129207
163.0,163,49.229051
226.0,226,49.369262
46.0,46,49.396986
278.0,278,49.565429
156.0,156,49.661298
70.0,70,49.70346
100.0,100,49.761465
49.0,49,49.791457
113.0,113,49.857723
191.0,191,49.979536
189.0,189,50.105219
150.0,150,51.457362
260.0,260,51.631724
310.0,310,51.849428
231.0,231,52.030404
163.0,163,52.149501
183.0,183,52.289243
141.0,141,52.409241
252.0,252,52.601471
221.0,221,52.789274
309.0,309,54.457303
59.0,59,54.500012
117.0,117,54.581317
166.0,166,54.702886
201.0,201,54.871418
214.0,214,55.032655
224.0,224,55.18197
195.0,195,55.320776
134.0,134,55.432377
283.0,283,55.64382
254.0,254,55.8151
198.0,198,57.285249
236.0,236,57.459428
222.0,222,57.619413
182.0,182,57.74919
141.0,141,57.869348
325.0,325,58.109462
163.0,163,58.220906
436.0,436,58.565017
153.0,153,58.67784
154.0,154,60.079146
148.0,148,60.186543
118.0,118,60.26933
270.0,270,60.488963
177.0,177,60.61414
180.0,180,60.734177
129.0,129,60.819204
119.0,119,60.914134
117.0,117,61.009085
216.0,216,61.164242
130.0,130,61.250417
184.0,184,61.37256
126.0,126,61.469014
136.0,136,63.074165
140.0,140,63.183154
277.0,277,63.402564
244.0,244,63.567294
130.0,130,63.661321
139.0,139,63.753409
138.0,138,63.866079
494.0,494,64.21926
205.0,205,64.366496
342.0,342,65.911244
170.0,170,66.049322
232.0,232,66.193495
370.0,370,66.449184
149.0,149,66.569338
158.0,158,66.67924
217.0,217,66.809308
51.0,51,66.839249
112.0,112,66.921745
185.0,185,67.038865
214.0,214,67.181096
329.0,329,68.753562
118.0,118,68.819184
149.0,149,68.918973
266.0,266,69.084343
363.0,363,69.309227
134.0,134,69.389609
315.0,315,69.633394
284.0,284,69.831713
